_step,val/test_score/simulation__arcagi1/unknown,val/test_score/stem__supergpqa/m-a-p/SuperGPQA,val/test_score/table__multihier/unknown,val/generations,val/test_score/codegen__mbpp/mbpp,val/test_score/logic__ordering_puzzle_dataset/unknown,val/test_score/math__amc_repeated_4x/unknown,val/test_score/math__math/unknown,val/test_score/math__aime_repeated_8x/unknown,val/test_score/logic__graph_logical_dataset/unknown,val/test_score/table__hitab/unknown,val/test_score/codegen__humaneval/openai_humaneval,val/test_score/stem__gpqa_diamond/Idavidrein/gpqa,val/test_score/simulation__codeio/unknown,val/test_score/codegen__livecodebench/LiveCodeBench,val/test_score/logic__zebra_puzzle_dataset/unknown,run_id,run_created_at,run_name
0,0.02,0.18,0.33,"{'ncols': 91, 'nrows': 1, 'sha256': '41b53c7fb08ae5c86ba84f86e435bcfd4b00caa6173a0e592507b7f967ab4f0d', 'artifact_path': 'wandb-client-artifact://0sd2eztnji6t6g335k6q7hr4410n4b58cb8e5pwuplg711umy8a39fvi0p9oevsx64jnseoayfu2mn4q9ptre26147vk0gdkqaw6j4ahmgma8cz6gtk0psz0l69njzhy/val/generations.table.json', 'path': 'media/table/val/generations_0_41b53c7fb08ae5c86ba8.table.json', 'size': 143530, '_latest_artifact_path': 'wandb-client-artifact://jzajl84a7ust2zrzyxz4fme2gib31695ixlfd61pxkdao9sssr68ojnjhjy56qpmonziu2ggy5nqvud57ihb0ky6iq900u3iy246w4q3tp34bzmcbc2yxjp7muvpcm00:latest/val/generations.table.json', '_type': 'table-file'}",0.68,0.28,0.28012048192771083,0.566,0.0375,0.05194805194805195,0.445,0.7439024390243902,0.3194444444444444,0.075,0.0967741935483871,0.02641666729003191,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
5,0.0,0.225,0.32,"{'sha256': 'c5b6b8c5162914ce23c2527853a1d1e140b6d4a3aaceba9ebf3c78178bb10619', 'size': 254494, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://zzpl23o2js4qf4x1kbquanaql2yxejcww8xlco06dbgdpo6x0i5bramwyp07s6k4tzsih5kw8b9jwqv7nux4h8ec68xehq1pnj1xl3zrvi1uvv95d5wni7p4qvrcpne2/val/generations.table.json', 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://ry99g4q7sdib4j4b2vpefssdffoobgjxxji8snbrf1y9fsqw3jsmhy402u3e51nghlqxkah1s3dlxc38r8xm39e86hll6hygv6eff7zqxledbvcequ1zmqpcic8vf1tw:latest/val/generations.table.json', 'ncols': 91, 'path': 'media/table/val/generations_4_c5b6b8c5162914ce23c2.table.json'}",0.61,0.26,0.28012048192771083,0.566,0.0875,0.09090909090909091,0.435,0.7560975609756098,0.2904040404040404,0.055,0.0931899641577061,0.029339286349713802,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
10,0.02,0.27,0.335,"{'_latest_artifact_path': 'wandb-client-artifact://f9kmeuay28ic2ygrgzz3eeo5gx8zsicknqqybi08kko68uqwaclx2clhgh5nolffqqlwil4yyv7s6duzp6sl5dbgb4ta2z1ky6eecarynbpps70nm53ovajnnptfelfs:latest/val/generations.table.json', 'ncols': 91, 'path': 'media/table/val/generations_9_774ab330d6f0990d4736.table.json', 'artifact_path': 'wandb-client-artifact://sjsc55rhpgyb5t4zkqybd4dzilidl8n4kf8wbvudckp6lemqq60yt3n7v1vr4hk2zaknxys1yusnw7w24vggdjik7b280lflwyy2po6ykgj7exjaqkzd9c2ztju7vp03/val/generations.table.json', 'size': 334005, '_type': 'table-file', 'nrows': 3, 'sha256': '774ab330d6f0990d4736f2228207e32f4ffda1b53173a620d351dd6eaab67f60'}",0.685,0.29,0.33433734939759036,0.632,0.058333333333333334,0.07792207792207792,0.465,0.774390243902439,0.3042929292929293,0.075,0.1111111111111111,0.01987658768892288,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
15,0.02,0.25,0.34,"{'ncols': 91, 'path': 'media/table/val/generations_14_e9725c1f8c9ffd2dda63.table.json', 'sha256': 'e9725c1f8c9ffd2dda63b72f27aacd4c18ea7a255b917e8776fbea925aaaf791', 'artifact_path': 'wandb-client-artifact://u6pjp2qe1qbr29no5adp355y49jbr52febekdwlm8g4yvthi98ho2epkb93riy3pojivy0cpjv3i446us19rxho8dgcgd6vdavfmo6mbllxnp1prod8fsc7jivipzqpu/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://n2m6ucqosq0xhs1jc2aqtepnl03azmlcqsl50t2xwewrmsvt4qxtajmvnizs2i37j99fgmikew3yx84dl6o6oqsqvjw67xwuiajop4uw07c6j9gqjgdiwagp1h847djr:latest/val/generations.table.json', 'size': 450486, 'nrows': 4, '_type': 'table-file'}",0.7,0.25,0.35542168674698793,0.658,0.07916666666666666,0.05194805194805195,0.52,0.8170731707317073,0.3068181818181818,0.07,0.16129032258064516,0.020350649878382684,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
20,0.015,0.29,0.32,"{'ncols': 91, '_latest_artifact_path': 'wandb-client-artifact://gbbtff0p5selbtyer5wiy5gzugkf20buifn5k8v9fbzvh6r4mk8l8uqgu0cf6p2pztr9t5p2m7y6e1r6pa3rj4ekxl1306ts1xg74unrj9gglw1xv3iu55izo99dgz83:latest/val/generations.table.json', 'nrows': 5, 'path': 'media/table/val/generations_19_ce72f5f0ad9cda8ac110.table.json', 'size': 597650, 'sha256': 'ce72f5f0ad9cda8ac110dd09e924ebde2d64d3e7c48e85a52074d3badcc9d581', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://gj5alkz6dogs0ip4knd0i8w828gfg1q9dui8u9nqdkcod30l9tr9ofgzznho5hwpd8bibhxa0illjf55slv53u1mqrpqaoft29wyl8175hk2kkxtefyim91m1emcj9ey/val/generations.table.json'}",0.705,0.3,0.35542168674698793,0.638,0.06666666666666667,0.025974025974025976,0.53,0.8292682926829268,0.3042929292929293,0.105,0.16129032258064516,0.009025613367557526,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
25,0.02,0.225,0.35,"{'sha256': 'a26d1c5c0754efd27a259c7f1655278d3b2ef0017fefba6a46f467e100ffafb0', 'size': 717908, 'artifact_path': 'wandb-client-artifact://i0cvblerds5vq2y0fxz5thmzdmtklpnw2m8cmjy4spzt66gmdb3qsl8kjv2zjyleyhvf6wgw5fttceu59g46fzrgf5snrlpgycqmkfadryr90w76pnydzbi6yn23x4vw/val/generations.table.json', 'path': 'media/table/val/generations_24_a26d1c5c0754efd27a25.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://olq38m90zrjg5g9lvccf7g4bzgxeovrikkgkayo2u81fgif7tsy9fs49ryrc5wya44f1ll236ix8yc2cum0zz59wc43oemenop1ysecmhbgf9r68xxu9l4trgourfmnm:latest/val/generations.table.json', 'nrows': 6, 'ncols': 91}",0.71,0.31,0.3614457831325301,0.7,0.08333333333333333,0.03896103896103896,0.515,0.8109756097560976,0.3383838383838384,0.065,0.15770609318996415,0.004672619178891182,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
