_step,critic/scores/table__hitab/max,critic/rewards/min,response_length/table__hitab/min,critic/scores/table__multihier/min,critic/scores/table__hitab/min,response_length/min,critic/scores/table__multihier/max,critic/scores/table__multihier/std,critic/rewards/max,response_length/max,response_length/table__hitab/max,response_length/table__multihier/mean,response_length/table__multihier/max,response_length/clip_ratio,critic/scores/table__multihier/mean,critic/rewards/mean,response_length/table__multihier/clip_ratio,response_length/table__hitab/clip_ratio,critic/scores/table__hitab/mean,response_length/table__hitab/mean,response_length/table__multihier/min,critic/scores/table__hitab/std,response_length/mean,run_id,run_created_at,run_name
11,1,0,1,0,0,1,1,0.4835270345211029,1,8192,8192,259.90692138671875,8192,0.000244140625,0.3723021447658539,0.5107421875,0.00044964029802940786,0.0001675603270996362,0.5623324513435364,180.26190185546875,56,0.4961410164833069,201.88427734375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
12,1,0,33,0,0,33,1,0.49505558609962463,1,8192,8192,260.9346923828125,8192,0.000244140625,0.4290413558483124,0.5350341796875,0.000469924823846668,0.0001649076584726572,0.5722295641899109,169.66770935058594,56,0.49479618668556213,193.375732421875,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
13,1,0,4,0,0,4,1,0.497836172580719,1,7610,7610,257.1134338378906,3702,0.0,0.4523148238658905,0.5880126953125,0.0,0.0,0.6366047859191895,158.28233337402344,40,0.481017142534256,184.34130859375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
14,1,0,14,0,0,14,1,0.4995723068714142,1,7782,7782,262.4779357910156,4439,0.0,0.4763655364513397,0.623291015625,0.0,0.0,0.6677799224853516,163.38279724121094,40,0.47104692459106445,186.4146728515625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
15,1,0,33,0,0,33,1,0.49847176671028137,1,7940,4896,260.3525085449219,7940,0.0,0.45953238010406494,0.6370849609375,0.0,0.0,0.7032506465911865,154.6590118408203,75,0.4568633735179901,183.3531494140625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
16,1,0,34,0,0,34,1,0.49980980157852173,1,2049,2049,248.45863342285156,1128,0.0,0.517463207244873,0.665283203125,0.0,0.0,0.71875,154.44979858398438,37,0.44964659214019775,179.4208984375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
17,1,0,23,0,0,23,1,0.4984486699104309,1,3988,2466,247.32382202148438,3988,0.0,0.54076087474823,0.6761474609375,0.0,0.0,0.7261029481887817,143.6893310546875,65,0.4459940493106842,171.6220703125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
18,1,0,31,0,0,31,1,0.4990489184856415,1,6851,6851,254.41038513183594,5714,0.0,0.5326286554336548,0.68701171875,0.0,0.0,0.7428523898124695,145.390625,55,0.43709778785705566,174.3489990234375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
19,1,0,34,0,0,34,1,0.4961334764957428,1,3920,3920,261.840576171875,2311,0.0,0.5629528760910034,0.7454833984375,0.0,0.0,0.8128342032432556,139.65274047851562,67,0.390077143907547,172.586181640625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
20,1,0,13,0,0,13,1,0.48549193143844604,1,8192,8192,253.8288116455078,1630,0.0001220703125,0.6200181245803833,0.732421875,0.0,0.00016711230273358524,0.7738970518112183,144.22894287109375,45,0.4183415472507477,173.76953125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
21,1,0,29,0,0,29,1,0.47982633113861084,1,1810,1168,254.28968811035156,1810,0.0,0.6409671306610107,0.75341796875,0.0,0.0,0.7944999933242798,136.40150451660156,53,0.4041001796722412,167.94580078125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
22,1,0,35,0,0,35,1,0.4877896308898926,1,8192,8192,267.03369140625,3695,0.0001220703125,0.6103515625,0.7381591796875,0.0,0.00016276042151730508,0.78076171875,140.2509765625,69,0.413764089345932,171.9466552734375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
23,1,0,14,0,0,14,1,0.47682568430900574,1,2045,1913,265.6197509765625,2045,0.0,0.6507866978645325,0.755126953125,0.0,0.0,0.7955623269081116,138.9208984375,47,0.40332427620887756,174.3074951171875,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
24,1,0,36,0,0,36,1,0.4834252893924713,1,3171,3171,260.58349609375,1184,0.0,0.6281512379646301,0.7628173828125,0.0,0.0,0.803594172000885,137.21453857421875,55,0.3973105847835541,165.88818359375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
25,1,0,23,0,0,23,1,0.46911653876304626,1,5169,5169,264.3232727050781,2164,0.0,0.673275887966156,0.7972412109375,0.0,0.0,0.8462193608283997,134.5469970703125,50,0.3607690930366516,171.300048828125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
26,1,0,38,0,0,38,1,0.45556455850601196,1,1205,1174,255.61842346191406,1205,0.0,0.706296980381012,0.82177734375,0.0,0.0,0.8623021245002747,132.74093627929688,79,0.3446110188961029,164.6602783203125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
27,1,0,37,0,0,37,1,0.4589866101741791,1,6440,6440,274.7696533203125,4884,0.0,0.6985887289047241,0.8050537109375,0.0,0.0,0.8390786051750183,144.4064178466797,63,0.3674880266189575,175.978759765625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
28,1,0,17,0,0,17,1,0.45435401797294617,1,5235,5235,269.2331237792969,2042,0.0,0.7089415788650513,0.805419921875,0.0,0.0,0.840666651725769,141.29666137695312,68,0.3660171329975128,175.5296630859375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
29,1,0,7,0,0,7,1,0.4529745578765869,1,4831,4831,277.47662353515625,4037,0.0,0.7119565010070801,0.8150634765625,0.0,0.0,0.8449307084083557,139.88681030273438,59,0.3619992136955261,170.790771484375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
30,1,0,38,0,0,38,1,0.43760907649993896,1,2637,2241,258.3628234863281,2637,0.0,0.7420302033424377,0.83056640625,0.0,0.0,0.8669077157974243,139.0349578857422,75,0.33970367908477783,173.76123046875,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
31,1,0,19,0,0,19,1,0.4353152811527252,1,8192,8192,270.75,1674,0.0001220703125,0.7461538314819336,0.8521728515625,0.0,0.000163612567121163,0.8882526159286499,140.5559539794922,72,0.3150811791419983,173.613037109375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
32,1,0,37,0,0,37,1,0.4375370740890503,1,3853,1589,270.53955078125,3853,0.0,0.7421875,0.8369140625,0.0,0.0,0.8684895634651184,144.1866912841797,72,0.33798524737358093,175.77490234375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
33,1,0,32,0,0,32,1,0.4126719832420349,1,1258,1258,268.2330322265625,1157,0.0,0.7824612259864807,0.8590087890625,0.0,0.0,0.8847911357879639,134.11471557617188,62,0.3192999064922333,167.90625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
34,1,0,1,0,0,1,1,0.4228278398513794,1,2389,2389,276.3056945800781,725,0.0,0.7670068144798279,0.845703125,0.0,0.0,0.8773972392082214,138.29537963867188,1,0.3280087411403656,177.91943359375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
35,1,0,38,0,0,38,1,0.44014039635658264,1,4336,4336,269.8309326171875,889,0.0,0.7374100685119629,0.8502197265625,0.0,0.0,0.8922587037086487,139.130859375,62,0.3100793659687042,174.6138916015625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
36,1,0,38,0,0,38,1,0.4436667561531067,1,3981,3410,260.5605773925781,3981,0.0,0.7307692170143127,0.85546875,0.0,0.0,0.8979057669639587,135.57411193847656,66,0.30279695987701416,167.3089599609375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
37,1,0,46,0,0,46,1,0.38959553837776184,1,3904,1458,266.75457763671875,3904,0.0,0.8135162591934204,0.8834228515625,0.0,0.0,0.9055269956588745,139.80960083007812,75,0.29250916838645935,170.30615234375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
38,1,0,38,0,0,38,1,0.45080602169036865,1,4936,3535,276.2889404296875,4936,0.0,0.7164855003356934,0.845703125,0.0,0.0,0.8933823704719543,137.55731201171875,87,0.3086523115634918,174.9498291015625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
39,1,0,51,0,0,51,1,0.3888583481311798,1,3898,2243,273.15240478515625,3898,0.0,0.8144230842590332,0.87841796875,0.0,0.0,0.9001963138580322,135.4780731201172,68,0.2997625768184662,170.4344482421875,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
40,1,0,37,0,0,37,1,0.43361517786979675,1,6861,6861,284.180908203125,4250,0.0,0.7491196990013123,0.86279296875,0.0,0.0,0.9064189195632935,140.18040466308594,85,0.2912696301937103,180.1180419921875,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
41,1,0,49,0,0,49,1,0.4130152463912964,1,2538,2538,267.1339416503906,1079,0.0,0.7819548845291138,0.8841552734375,0.0,0.0,0.920019805431366,138.00462341308594,81,0.27128493785858154,171.5479736328125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
42,1,0,37,0,0,37,1,0.39648768305778503,1,3978,3978,274.3170471191406,1490,0.0,0.80474454164505,0.8709716796875,0.0,0.0,0.8951666951179504,146.91650390625,72,0.3063640892505646,181.006103515625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
43,1,0,51,0,0,51,1,0.36344194412231445,1,5132,5132,277.7441101074219,4626,0.0,0.8434829115867615,0.8961181640625,0.0,0.0,0.9117088317871094,147.1009521484375,90,0.2837402820587158,176.9549560546875,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
44,1,0,46,0,0,46,1,0.4331094026565552,1,4430,4430,290.7410583496094,886,0.0,0.75,0.867431640625,0.0,0.0,0.9116263389587402,145.40188598632812,70,0.2838613986968994,185.14306640625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
45,1,0,52,0,0,52,1,0.3886014521121979,1,7745,7745,271.41070556640625,2260,0.0,0.8147321343421936,0.8824462890625,0.0,0.0,0.9079301357269287,148.1082000732422,86,0.28914886713027954,181.82373046875,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
46,1,0,51,0,0,51,1,0.39307770133018494,1,4448,1664,288.0918273925781,4448,0.0,0.8091346025466919,0.906982421875,0.0,0.0,0.9402813911437988,136.5711669921875,78,0.23698410391807556,175.043212890625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
47,1,0,45,0,0,45,1,0.4171387851238251,1,8192,8192,286.91033935546875,4901,0.0001220703125,0.7758151888847351,0.8685302734375,0.0,0.00016711230273358524,0.9027406573295593,148.28977966308594,67,0.296335369348526,185.65234375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
48,1,0,53,0,0,53,1,0.3914850056171417,1,4922,4922,268.0693054199219,4609,0.0,0.811141312122345,0.88671875,0.0,0.0,0.9146056175231934,144.08038330078125,81,0.27949103713035583,177.499267578125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
49,1,0,51,0,0,51,1,0.3978049159049988,1,1284,1284,276.00042724609375,943,0.0,0.803017258644104,0.8856201171875,0.0,0.0,0.9182561039924622,143.57237243652344,85,0.27399742603302,181.076416015625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
50,1,0,52,0,0,52,1,0.4119422137737274,1,3836,3836,273.9682922363281,858,0.0,0.7835144996643066,0.8997802734375,0.0,0.0,0.9426804780960083,139.12867736816406,60,0.2324715554714203,175.47216796875,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
51,1,0,54,0,0,54,1,0.37440329790115356,1,5973,5973,274.7650146484375,3433,0.0,0.8314999938011169,0.90283203125,0.0,0.0,0.9258720874786377,141.1505126953125,75,0.26200008392333984,173.771240234375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
52,1,0,50,0,0,50,1,0.37885695695877075,1,3953,3592,276.67926025390625,3953,0.0,0.8263888955116272,0.890625,0.0,0.0,0.91576087474823,141.86685180664062,83,0.27776968479156494,179.7828369140625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
53,1,0,50,0,0,50,1,0.4184226989746094,1,7669,7669,284.7596435546875,1626,0.0,0.7738820910453796,0.881103515625,0.0,0.0,0.9150063991546631,146.4657745361328,89,0.2788945436477661,179.688720703125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
54,1,0,40,0,0,40,1,0.3205559551715851,1,4603,3806,286.26171875,4603,0.0,0.8837890625,0.9136962890625,0.0,0.0,0.9236653447151184,151.1661834716797,132,0.26555439829826355,184.9400634765625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
55,1,0,56,0,0,56,1,0.3929375112056732,1,4449,4449,278.8955383300781,1217,0.0,0.8093065619468689,0.9051513671875,0.0,0.0,0.9401666522026062,142.88499450683594,94,0.23719756305217743,179.2784423828125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
56,1,0,56,0,0,56,1,0.35162124037742615,1,5475,5475,276.8745422363281,4461,0.0,0.855555534362793,0.909912109375,0.0,0.0,0.9293766617774963,137.77337646484375,79,0.2562158703804016,174.450439453125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
57,1,0,60,0,0,60,1,0.3565005362033844,1,7745,7745,277.1932373046875,3769,0.0,0.8506679534912109,0.9085693359375,0.0,0.0,0.9284777045249939,135.73802185058594,92,0.25771644711494446,171.9306640625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
58,1,0,53,0,0,53,1,0.3911244571208954,1,3773,684,283.5892333984375,3773,0.0,0.8115941882133484,0.8985595703125,0.0,0.0,0.9306483864784241,141.9640655517578,78,0.2540723383426666,180.136474609375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
59,1,0,59,0,0,59,1,0.3643832206726074,1,4857,4023,295.67022705078125,4857,0.0,0.8424796462059021,0.90771484375,0.0,0.0,0.9283419251441956,146.0751953125,76,0.25794166326522827,182.0130615234375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
60,1,0,59,0,0,59,1,0.34454652667045593,1,5174,5174,271.17987060546875,688,0.0,0.8624100685119629,0.9200439453125,0.0,0.0,0.9415214657783508,151.744140625,71,0.23466579616069794,184.1690673828125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
