_step,response_length/math__merged_deduped_dapo_or1_dataset/min,critic/rewards/max,response_length/math__deepscaler_preview/min,response_length/math__deepscaler_preview/clip_ratio,response_length/math__merged_deduped_dapo_or1_dataset/mean,critic/scores/math__merged_deduped_dapo_or1_dataset/min,critic/scores/math__deepscaler_preview/std,response_length/mean,critic/scores/math__merged_deduped_dapo_or1_dataset/max,critic/rewards/mean,critic/scores/math__deepscaler_preview/mean,critic/rewards/min,critic/scores/math__deepscaler_preview/min,response_length/math__merged_deduped_dapo_or1_dataset/clip_ratio,response_length/min,critic/scores/math__merged_deduped_dapo_or1_dataset/std,critic/scores/math__merged_deduped_dapo_or1_dataset/mean,response_length/math__deepscaler_preview/max,response_length/clip_ratio,response_length/math__merged_deduped_dapo_or1_dataset/max,critic/scores/math__deepscaler_preview/max,response_length/max,response_length/math__deepscaler_preview/mean,run_id,run_created_at,run_name
14,2,1,50,0.00034340660204179585,701.2822265625,0,0.3795616328716278,679.602783203125,1,0.14306640625,0.17445054650306702,0,0,0.00018939393339678645,2,0.3316073417663574,0.12575757503509521,8192,0.000244140625,8192,1,8192,640.2939453125,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
15,2,1,64,0.0003396739193703979,698.186767578125,0,0.3842753469944,711.1746826171875,1,0.142333984375,0.18002717196941376,0,0,0.0003810975467786193,2,0.3263779282569885,0.12118902802467346,8192,0.0003662109375,8192,1,8192,734.3270874023438,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
16,4,1,110,0.00038580247201025486,723.34716796875,0,0.37684035301208496,724.98193359375,1,0.1494140625,0.17129629850387573,0,0,0.0005357142654247582,4,0.34627535939216614,0.13928571343421936,8192,0.00048828125,8192,1,8192,728.513916015625,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
17,2,1,95,0.0,719.2201538085938,0,0.37735146284103394,722.236328125,1,0.1292724609375,0.171875,0,0,0.00034340660204179585,2,0.31533268094062805,0.11195054650306702,5444,0.000244140625,8192,1,8192,729.654541015625,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
18,63,1,52,0.0007530120201408863,720.0299682617188,0,0.39248186349868774,726.078369140625,1,0.1396484375,0.19013553857803345,0,0,0.0,52,0.3195645809173584,0.11542630195617676,8192,0.000244140625,7499,1,8192,738.6852416992188,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
19,107,1,94,0.000327225134242326,755.39697265625,0,0.3882654905319214,762.0933837890625,1,0.155029296875,0.18488219380378723,0,0,0.0,94,0.34416183829307556,0.1372663527727127,8192,0.0001220703125,7262,1,8192,773.3475341796875,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
20,84,1,125,0.0,776.5696411132812,0,0.3872148394584656,767.6881103515625,1,0.167724609375,0.18356643617153168,0,0,0.0,84,0.36810117959976196,0.16158536076545715,6336,0.0,7465,1,7465,744.7700805664062,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
21,54,1,109,0.0,822.3264770507812,0,0.41562286019325256,805.4498291015625,1,0.1676025390625,0.22193114459514618,0,0,0.00036231885314919055,54,0.34836676716804504,0.14130434393882751,4278,0.000244140625,8192,1,8192,770.5849609375,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
22,87,1,60,0.0013111887965351343,797.260009765625,0,0.4183053970336914,823.2880859375,1,0.1717529296875,0.22596153616905212,0,0,0.0003387533943168819,60,0.3578307032585144,0.15074525773525238,8192,0.0006103515625,8192,1,8192,890.4514770507812,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
23,82,1,83,0.0,859.88623046875,0,0.4194016456604004,850.7139892578125,1,0.1634521484375,0.2276490032672882,0,0,0.0003462603781372309,82,0.3434540033340454,0.13659971952438354,4718,0.000244140625,8192,1,8192,828.7855834960938,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
24,146,1,77,0.0,862.3468627929688,0,0.4214913547039032,850.07958984375,1,0.1798095703125,0.23092105984687805,0,0,0.0,77,0.35676324367523193,0.14965061843395233,7374,0.0,7340,1,7374,829.289794921875,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
25,91,1,121,0.0003881987649947405,878.5119018554688,0,0.41518470644950867,865.923583984375,1,0.1826171875,0.2212732881307602,0,0,0.0001780626771505922,91,0.3711107075214386,0.16488604247570038,8192,0.000244140625,8192,1,8192,838.4794311523438,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
26,78,1,100,0.0,884.3711547851562,0,0.45067650079727173,876.91748046875,1,0.1998291015625,0.2832840383052826,0,0,0.0,78,0.36543864011764526,0.15870991349220276,5933,0.0,7287,1,7287,861.78955078125,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
27,121,1,125,0.0,898.159423828125,0,0.4485014081001282,911.6739501953125,1,0.2071533203125,0.278817355632782,0,0,0.0,121,0.3778172433376312,0.1724637746810913,5020,0.0,8017,1,8017,939.5932006835938,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
28,94,1,34,0.0,915.7484130859375,0,0.4478611350059509,916.486572265625,1,0.215087890625,0.277515709400177,0,0,0.00017705382197164,34,0.38992103934288025,0.1869688332080841,4805,0.0001220703125,8192,1,8192,918.1253662109375,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
29,122,1,109,0.0,924.14794921875,0,0.4150046706199646,899.2366943359375,1,0.1927490234375,0.2210090309381485,0,0,0.0,109,0.3835466206073761,0.1791907548904419,4763,0.0,5394,1,5394,847.313232421875,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
30,73,1,23,0.0,891.5485229492188,0,0.4350702464580536,899.579345703125,1,0.2125244140625,0.2534509301185608,0,0,0.0,23,0.39500677585601807,0.1934097409248352,6865,0.0,4671,1,6865,916.774169921875,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
31,57,1,81,0.0,947.2106323242188,0,0.45085421204566956,917.451904296875,1,0.23046875,0.2836538553237915,0,0,0.0,57,0.4031994044780731,0.2042638510465622,5020,0.0,5610,1,5610,857.0540161132812,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
32,68,1,122,0.0,903.3993530273438,0,0.4402990937232971,924.457275390625,1,0.2115478515625,0.26290321350097656,0,0,0.00017507003212813288,68,0.39174193143844604,0.18925070762634277,4913,0.0001220703125,8192,1,8192,972.95849609375,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
33,112,1,186,0.0,956.306396484375,0,0.44691693782806396,941.3533935546875,1,0.22412109375,0.2756076455116272,0,0,0.0,112,0.40298423171043396,0.203974187374115,6752,0.0,7362,1,7362,903.1401977539062,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
34,41,1,33,0.0003633720916695893,960.2185668945312,0,0.45934900641441345,967.6788330078125,1,0.2349853515625,0.302325576543808,0,0,0.0,33,0.40072453022003174,0.20091912150382996,8192,0.0001220703125,6387,1,8192,982.4258422851562,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
35,124,1,157,0.0,939.57666015625,0,0.4748603403568268,938.757568359375,1,0.2535400390625,0.34317484498023987,0,0,0.0,124,0.40853309631347656,0.211676225066185,5665,0.0,5919,1,5919,937.0038452148438,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
36,110,1,102,0.0,978.9221801757812,0,0.4459308981895447,970.64599609375,1,0.224853515625,0.27369505167007446,0,0,0.0003787878667935729,102,0.39846673607826233,0.1979166716337204,5388,0.000244140625,8192,1,8192,955.6397705078125,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
37,54,1,105,0.0,973.754638671875,0,0.4642188847064972,973.3565673828125,1,0.256103515625,0.31403374671936035,0,0,0.0,54,0.4202573597431183,0.2290472835302353,5672,0.0,6716,1,6716,972.5042114257812,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
38,71,1,150,0.0,942.7094116210938,0,0.4650776982307434,943.306884765625,1,0.2457275390625,0.31617647409439087,0,0,0.0,71,0.4113451838493347,0.2157033383846283,5266,0.0,5605,1,5605,944.708740234375,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
39,151,1,161,0.0,988.1552734375,0,0.4731576442718506,996.234619140625,1,0.2613525390625,0.338087260723114,0,0,0.0,151,0.4207759201526642,0.22985537350177765,6233,0.0,5865,1,6233,1015.9177856445312,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
40,141,1,69,0.0,993.6936645507812,0,0.4650522768497467,993.2171630859375,1,0.2496337890625,0.31615692377090454,0,0,0.00019290123600512743,69,0.4080817997455597,0.21103395521640778,5703,0.0001220703125,8192,1,8192,992.3959350585938,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
41,112,1,133,0.0,1043.7410888671875,0,0.4753546118736267,1013.52099609375,1,0.266845703125,0.3446856141090393,0,0,0.00036231885314919055,112,0.42033475637435913,0.2291666716337204,5743,0.000244140625,8192,1,8192,951.0902099609375,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
42,161,1,141,0.0,1002.9126586914062,0,0.4632929861545563,985.1490478515625,1,0.264404296875,0.3117424249649048,0,0,0.00018011526844929904,141,0.42826947569847107,0.24189481139183044,5432,0.0001220703125,8192,1,8192,947.7916870117188,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
43,104,1,86,0.0,1004.7791137695312,0,0.47350209951400757,1006.8804931640625,1,0.2694091796875,0.33912035822868347,0,0,0.0,86,0.4253685772418976,0.23714286088943481,7160,0.0,6934,1,7160,1011.4205322265625,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
44,137,1,147,0.0,1010.4774780273438,0,0.4772976040840149,1000.82421875,1,0.27685546875,0.35075756907463074,0,0,0.0,137,0.4281608462333679,0.2417147010564804,6148,0.0,6782,1,6782,980.5231323242188,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
45,131,1,82,0.0,1070.2257080078125,0,0.4796260595321655,1058.787841796875,1,0.298583984375,0.358410507440567,0,0,0.0,82,0.44446057081222534,0.270892858505249,6154,0.0,7912,1,7912,1034.076416015625,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
46,111,1,138,0.0,1046.6181640625,0,0.47533658146858215,1037.452880859375,1,0.2666015625,0.34464284777641296,0,0,0.0005563798476941884,111,0.4183275103569031,0.2260756641626358,7664,0.0003662109375,8192,1,8192,1019.80322265625,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
47,160,1,99,0.0,1007.89208984375,0,0.49354100227355957,979.240234375,1,0.318603515625,0.41931816935539246,0,0,0.0,99,0.44436827301979065,0.27071326971054077,6076,0.0,7570,1,7570,918.9844970703125,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
48,175,1,74,0.0,997.3695678710938,0,0.48140957951545715,1003.6312255859375,1,0.3045654296875,0.3645833432674408,0,0,0.0,74,0.44818416237831116,0.27826544642448425,6858,0.0,6318,1,6858,1017.920654296875,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
49,127,1,141,0.0,995.7206420898438,0,0.491630494594574,1017.912841796875,1,0.2877197265625,0.40838509798049927,0,0,0.0001780626771505922,127,0.4223824143409729,0.23237179219722748,6195,0.0001220703125,8192,1,8192,1066.294677734375,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
50,144,1,154,0.0,1029.6060791015625,0,0.4883027672767639,1000.8494873046875,1,0.3182373046875,0.3920784890651703,0,0,0.00018382353300694376,144,0.44947147369384766,0.2808823585510254,5461,0.0001220703125,8192,1,8192,944.0050659179688,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
51,111,1,133,0.0,994.1633911132812,0,0.4862566590309143,1001.3463134765625,1,0.335693359375,0.3832142949104309,0,0,0.0,111,0.4629524052143097,0.311016321182251,6348,0.0,6557,1,6557,1015.1785888671875,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
52,156,1,178,0.0,1011.9287719726562,0,0.498747318983078,985.9593505859375,1,0.34130859375,0.4632812440395355,0,0,0.0,156,0.4518662393093109,0.28586646914482117,6328,0.0,6591,1,6591,928.8265380859375,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
53,77,1,162,0.0,1057.297119140625,0,0.48077040910720825,1028.71826171875,1,0.30810546875,0.3623466193675995,0,0,0.0,77,0.45038697123527527,0.2827722132205963,5538,0.0,7510,1,7510,967.5280151367188,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
54,163,1,94,0.000405844155466184,1018.2936401367188,0,0.47286921739578247,1030.1468505859375,1,0.306640625,0.3372564911842346,0,0,0.0005237430450506508,94,0.4553919732570648,0.29347068071365356,8192,0.00048828125,8192,1,8192,1057.70166015625,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
55,127,1,137,0.0,1032.4385986328125,0,0.4964113235473633,1008.191162109375,1,0.3441162109375,0.43941718339920044,0,0,0.0,127,0.4581264555454254,0.2996060252189636,5977,0.0,7807,1,7807,956.27490234375,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
56,167,1,151,0.0,1002.4224853515625,0,0.4937662184238434,1004.3311767578125,1,0.3731689453125,0.4207650125026703,0,0,0.00018996960716322064,151,0.47596266865730286,0.3466945290565491,6603,0.0001220703125,8192,1,8192,1007.7626342773438,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
57,144,1,148,0.0,981.9493408203125,0,0.49341273307800293,959.27294921875,1,0.3416748046875,0.4185126721858978,0,0,0.0,144,0.46144893765449524,0.30737993121147156,6689,0.0,7352,1,7352,908.4663696289062,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
58,99,1,154,0.0,988.98388671875,0,0.4964113235473633,995.596435546875,1,0.345703125,0.43941718339920044,0,0,0.0,99,0.4591379463672638,0.3019340932369232,5733,0.0,7643,1,7643,1009.7545776367188,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
59,163,1,129,0.0,988.3971557617188,0,0.4871840476989746,981.99462890625,1,0.336181640625,0.38712120056152344,0,0,0.0,129,0.46333518624305725,0.3119596540927887,7743,0.0,6376,1,7743,968.5299072265625,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
60,103,1,76,0.0,973.2717895507812,0,0.49519768357276917,976.261962890625,1,0.3388671875,0.43014705181121826,0,0,0.0,76,0.4582822620868683,0.29996517300605774,8007,0.0,7464,1,8007,983.2781982421875,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
