_step,response_length/simulation__codeio/mean,critic/rewards/max,response_length/mean,critic/rewards/mean,response_length/simulation__codeio/clip_ratio,critic/scores/simulation__codeio/mean,response_length/simulation__codeio/min,response_length/simulation__codeio/max,critic/rewards/min,response_length/min,critic/scores/simulation__codeio/min,response_length/clip_ratio,critic/scores/simulation__codeio/std,response_length/max,critic/scores/simulation__codeio/max,run_id,run_created_at,run_name
22,434.61865234375,1,434.61865234375,0.3746337890625,0.000732421875,0.3746337890625,34,8192,0,34,0,0.000732421875,0.484057754278183,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
23,410.723876953125,1,410.723876953125,0.406494140625,0.000244140625,0.406494140625,62,8192,0,62,0,0.000244140625,0.4912088215351105,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
24,428.0784912109375,1,428.0784912109375,0.399658203125,0.0,0.399658203125,44,7053,0,44,0,0.0,0.489857941865921,7053,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
25,425.8065185546875,1,425.8065185546875,0.4024658203125,0.0003662109375,0.4024658203125,59,8192,0,59,0,0.0003662109375,0.4904247522354126,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
26,430.62109375,1,430.62109375,0.4351806640625,0.0,0.4351806640625,48,7772,0,48,0,0.0,0.49581092596054077,7772,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
27,438.696533203125,1,438.696533203125,0.467041015625,0.00048828125,0.467041015625,57,8192,0,57,0,0.00048828125,0.4989429712295532,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
28,463.504150390625,1,463.504150390625,0.4554443359375,0.0006103515625,0.4554443359375,61,8192,0,61,0,0.0006103515625,0.4980412423610687,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
29,443.39990234375,1,443.39990234375,0.4599609375,0.0003662109375,0.4599609375,7,8192,0,7,0,0.0003662109375,0.4984247088432312,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
30,455.123779296875,1,455.123779296875,0.4124755859375,0.0003662109375,0.4124755859375,63,8192,0,63,0,0.0003662109375,0.49230992794036865,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
31,449.163330078125,1,449.163330078125,0.4586181640625,0.000244140625,0.4586181640625,56,8192,0,56,0,0.000244140625,0.4983150064945221,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
32,478.884521484375,1,478.884521484375,0.4534912109375,0.0003662109375,0.4534912109375,39,8192,0,39,0,0.0003662109375,0.4978626072406769,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
33,494.3756103515625,1,494.3756103515625,0.473876953125,0.00048828125,0.473876953125,65,8192,0,65,0,0.00048828125,0.49934759736061096,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
34,482.4871826171875,1,482.4871826171875,0.4884033203125,0.000244140625,0.4884033203125,65,8192,0,65,0,0.000244140625,0.49989601969718933,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
35,463.120849609375,1,463.120849609375,0.46826171875,0.000244140625,0.46826171875,68,8192,0,68,0,0.000244140625,0.49902212619781494,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
36,472.4202880859375,1,472.4202880859375,0.47998046875,0.0006103515625,0.47998046875,33,8192,0,33,0,0.0006103515625,0.49962955713272095,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
